STATE,CITY,LOCATION,ENERGY,AREA,IT EQUIPMENT POWER,State_Aggregated_PUE,FULL_CABINETS,PARTIAL_CABINETS,SHARED_RACKSPACE,CAGES,SUITES,BUILD_TO_SUIT,FOOTPRINTS,REMOTE_HANDS,YEAR_OPERATIONAL,State_Aggregated_IXP_Count
NC,Charlotte,Cologix CLT1,4.2,65000,2.86,1.55,True,True,True,True,False,False,True,True,2007.0,4
NC,Charlotte,Iron Mountain Charlotte,22.0,183000,14.96,1.55,True,True,True,True,False,False,True,True,2003.0,4
NC,Charlotte,CyrusOne CLT1,36.5,592000,27.38,1.55,True,True,False,True,True,True,True,True,2013.0,4
NC,Durham,Flexential Durham,18.7,145000,13.09,1.55,True,True,True,True,True,False,True,True,2009.0,4
NC,Durham,DataBank RDU1,14.4,240000,10.08,1.55,True,True,True,True,True,False,True,True,2017.0,4
NC,Durham,TierPoint Raleigh-Durham,12.6,83000,8.69,1.55,True,True,True,True,True,False,True,True,2006.0,4
NC,Raleigh,Lumen Raleigh,3.7,77000,2.41,1.55,True,True,True,False,False,False,True,True,2013.0,4
NC,Raleigh,Cologix RDU1,11.6,21000,7.89,1.55,True,True,True,True,False,False,True,True,2011.0,4
NC,Raleigh,DataBank RDU2,4.5,158000,3.15,1.55,True,True,True,True,True,False,True,True,2016.0,4
OH,Columbus,Equinix CM1,46.4,235000,33.41,1.57,True,True,True,True,True,True,True,True,2000.0,5
OH,Columbus,DataBank CMH1,28.9,47000,20.23,1.57,True,True,True,True,True,False,True,True,2005.0,5
OH,Columbus,Flexential Columbus,3.2,30000,2.24,1.57,True,True,True,True,True,False,True,True,2007.0,5
OH,Columbus,Cologix CMH1,7.2,113000,4.9,1.57,True,True,True,True,False,False,True,True,2019.0,5
OH,Columbus,TierPoint Columbus,5.9,97000,4.07,1.57,True,True,True,True,True,False,True,True,2019.0,5
OH,Columbus,Iron Mountain Columbus,4.8,141000,3.26,1.57,True,True,True,True,False,False,True,True,2016.0,5
OH,Columbus,CyrusOne COL1 - Columbus,46.6,566000,34.95,1.57,True,True,False,True,True,True,True,True,2011.0,5
OH,Columbus,QTS Columbus,70.3,288000,53.43,1.57,True,True,False,True,True,True,True,True,2011.0,5
OH,Cleveland,DataBank CLE1,13.7,177000,9.59,1.57,True,True,True,True,True,False,True,True,2009.0,5
OH,Cleveland,Flexential Cleveland,10.2,168000,7.14,1.57,True,True,True,True,True,False,True,True,2002.0,5
OH,Cleveland,TierPoint Cleveland,2.1,100000,1.45,1.57,True,True,True,True,True,False,True,True,2018.0,5
IL,Chicago,Equinix CH2,49.8,75000,35.86,1.52,True,True,True,True,True,True,True,True,2005.0,9
IL,Chicago,Equinix CH3,27.8,96000,20.02,1.52,True,True,True,True,True,True,True,True,2010.0,9
IL,Chicago,Equinix CH4,44.6,357000,32.11,1.52,True,True,True,True,True,True,True,True,2010.0,9
IL,Chicago,DataBank CHI1,10.7,126000,7.49,1.52,True,True,True,True,True,False,True,True,2017.0,9
IL,Chicago,DataBank CHI2,22.0,164000,15.4,1.52,True,True,True,True,True,False,True,True,2020.0,9
