STATE,CITY,LOCATION,ENERGY,AREA,IT EQUIPMENT POWER,State_Aggregated_PUE,FULL_CABINETS,PARTIAL_CABINETS,SHARED_RACKSPACE,CAGES,SUITES,BUILD_TO_SUIT,FOOTPRINTS,REMOTE_HANDS,YEAR_OPERATIONAL,State_Aggregated_IXP_Count,Cluster,PCA1,PCA2
IL,Chicago,Equinix CH2,49.8,75000,35.86,1.52,1,1,1,1,1,1,1,1,2005.0,9,0,-0.4497005449261721,1.5323428768825351
IL,Chicago,Equinix CH3,27.8,96000,20.02,1.52,1,1,1,1,1,1,1,1,2010.0,9,1,-0.7210729331641997,0.7180613197913737
IL,Chicago,Equinix CH4,44.6,357000,32.11,1.52,1,1,1,1,1,1,1,1,2010.0,9,0,-0.3126958011323363,2.251504681557369
IL,Chicago,DataBank CHI1,10.7,126000,7.49,1.52,1,1,1,1,1,0,1,1,2017.0,9,1,-0.8117276823388209,-0.5902291647933493
IL,Chicago,DataBank CHI2,22.0,164000,15.4,1.52,1,1,1,1,1,0,1,1,2020.0,9,1,-0.6167668659550922,0.014561446379091944
IL,Chicago,Cologix CHI1,8.9,85000,6.05,1.52,1,1,1,1,0,0,1,1,2018.0,9,1,-0.5652724597526214,-1.424615468585549
IL,Chicago,Cologix CHI2,5.9,84000,4.01,1.52,1,1,1,1,0,0,1,1,2005.0,9,1,-0.6659236324916221,-1.635230129964013
IL,Chicago,Iron Mountain CHI1,8.8,181000,5.98,1.52,1,1,1,1,0,0,1,1,2015.0,9,1,-0.5165874033779099,-1.1413945924602782
IL,Chicago,Iron Mountain CHI2,6.4,77000,4.35,1.52,1,1,1,1,0,0,1,1,2004.0,9,1,-0.6683019677424317,-1.6440397335156673
IL,Chicago,Digital Realty CHI1,88.4,262000,65.42,1.52,1,1,0,1,1,1,1,1,2012.0,9,0,0.8538072628125656,4.524643614658282
IL,Chicago,Digital Realty CHI2,64.6,300000,47.8,1.52,1,1,0,1,1,1,1,1,2005.0,9,0,0.5094185720505969,3.5966017726768733
IL,Chicago,TierPoint Chicago,3.5,75000,2.42,1.52,1,1,1,1,1,0,1,1,2008.0,9,1,-0.9862368475841673,-1.1091197925185214
IL,Chicago,Flexential Chicago,2.8,73000,1.96,1.52,1,1,1,1,1,0,1,1,2004.0,9,1,-1.0151396680072629,-1.1698634442507163
IL,Chicago,QTS Chicago,67.3,257000,51.15,1.52,1,1,0,1,1,1,1,1,2017.0,9,0,0.5864211054402042,3.6909220595708794
IL,Chicago,CyrusOne CHI1 - Chicago,48.6,302000,36.45,1.52,1,1,0,1,1,1,1,1,2005.0,9,0,0.2883084876106828,2.9426913118228692
IL,Chicago,Lumen Chicago 1,2.0,76000,1.3,1.52,1,1,1,0,0,0,1,1,1999.0,9,1,0.3900112921420797,-2.43618465347642
IL,Chicago,Lumen Chicago 2,5.9,68000,3.84,1.52,1,1,1,0,0,0,1,1,2013.0,9,1,0.5004516785325572,-2.2145576049953806
AZ,Phoenix,Equinix PH1,29.9,200000,21.53,1.65,1,1,1,1,1,1,1,1,2000.0,4,1,-0.9452894169449947,1.2330770886222107
AZ,Phoenix,Equinix PH2,18.9,364000,13.61,1.65,1,1,1,1,1,1,1,1,2000.0,4,1,-0.9904783068909419,1.3005673560237736
AZ,Phoenix,DataBank PHX1,27.3,76000,19.11,1.65,1,1,1,1,1,0,1,1,2007.0,4,1,-0.9382044375235375,0.025372618904554414
AZ,Phoenix,DataBank PHX2,21.0,107000,14.7,1.65,1,1,1,1,1,0,1,1,2017.0,4,1,-0.959197571191052,-0.06748885689129208
AZ,Phoenix,CyrusOne PHX1 - Phoenix,71.9,291000,53.93,1.65,1,1,0,1,1,1,1,1,2009.0,4,0,0.3548843466793654,4.08398010535342
AZ,Phoenix,Iron Mountain Phoenix,23.4,70000,15.91,1.65,1,1,1,1,0,0,1,1,2003.0,4,1,-0.7229835804896294,-0.8245290072910009
AZ,Phoenix,Flexential Phoenix,19.6,149000,13.72,1.65,1,1,1,1,1,0,1,1,2013.0,4,1,-0.9688528443364395,-0.01699262253545186
